text,label,label_num
Поздравляем! Выиграли iPhone 15 Pro! Введите данные,2,2
cамолет президента армении сбил 9 азербайджанских истребителей  самолет президент армения сбивать азербайджанский истребитель,REAL,0
сенат сша постановил продлить действие плана даллеса для ссср ещё на 20 лет  сенат сша постанавливать продлять действие план даллес ссср год,REAL,0
фсб второй раз за четыре дня сообщила о предотвращенном теракте фсб второй четыре день сообщать предотвращать теракт,FAKE,1
си цзиньпин  китай не намерен переселять россиян при передаче сибири  цзиньпина китай намеривать переселять россиянин передача сибирь,REAL,0
депутата рашкина задержали при попытке пронести винтовку на биатлонный стадион  депутат рашкин задерживать попытка пронести винтовка биатлонный стадион,REAL,0
начальник в беде! Срочно переведи 5000₽,2,2
"Баланс 5000$, выведешь после депозита 1000$",2,2
"Баланс 5000$, выведешь после депозита 1000$",2,2
"гендиректор белавиа  «самолёты себя не оправдали»  гендиректор белавиа   « самолет оправдывать » 
",REAL,0
"эрдоган на встрече с путиным назвал крым «издревле русской всенародной здравницей»  эрдоган встреча путин называть крым издревле русский всенародный здравница » 
",REAL,0
"Баланс 5000$, выведешь после депозита 1000$",2,2
Служба безопасности: нарушение правил,2,2
путин встретится в москве с генсеком оон путин встречаться москва генсек оон,FAKE,1
ребенка убило ледяной глыбой в детском саду магадана ребенок убивать ледяной глыба детский сад магадан,REAL,0
Играй на курсе BTC! Переводи ETH→USDT→вывод,2,2
российский губернатор описал попытки попасть к врачу с дочерью российский губернатор описывать попытка попадать врач дочь,FAKE,1
"посетителя петербургского кафе расчленили за фразу «экспрессо невкусное от слова вообще»  посетитель петербургский кафе расчленять фраза экспрессо невкусный слово вообще » 
",REAL,0
Поздравляем! Выиграли Tesla Model 3! Получите по ссылке,2,2
великобритания отправит украине 120 бронемашин и противокорабельные ракетные комплексы великобритания отправлять украина бронемашина противокорабельный ракетный комплекс,FAKE,1
к президентским выборам 2024 года в россии полностью перейдут на электронный формат голосования  президентский выборы год россия полностью переходить электронный формат голосование,REAL,0
сын экс главы ржд якунина выступил против войны в украине и заявил  что никогда не голосовал за путина сын экс глава ржд якунин выступать против война украина заявлять голосовать путин,FAKE,1
в ярославле в жилом доме рванул газ ярославль жилой дом рвануть газ,REAL,0
на украине автоугонщик с гранатой взял в заложники полицейского украина автоугонщик граната взять заложник полицейский,FAKE,1
россия избежала дефолта по еврооблигациям — bloomberg россия избегать дефолт еврооблигация  —  bloomberg,FAKE,1
иран пригрозил израилю фаянсовым джихадом  иран пригрозить израиль фаянсовый джихад,REAL,0
